user_id,username,link_karma,comment_karma,created,verified,submissions,comments
dy4s9,ThetaReactor,3452,98685,102649,16/11/13,True,47,1000
dy4s9,ThetaReactor,3452,98685,102649,16/11/13,True,47,1000
9jxil,chrisjfinlay,26097,93656,120057,09/11/12,True,940,1000
1ikid2q9,CyGuy6587,33270,76689,110252,05/06/18,True,304,1000
n0b8k6a19,SupplyChainMismanage,2693,82245,84938,01/11/23,True,7,1000
ilgd6,res30stupid,105618,460061,568517,27/09/14,True,999,1000
119u8i,jpers36,1441,50476,52552,08/09/16,True,88,1000
rj4wx,anomalyraven,327,22231,22789,28/10/15,True,3,1000
8y2ng,bigbysemotivefinger,20125,170660,192279,08/09/12,True,379,987
2wl0m0ml,Nomi_0071,12,126,566,02/01/19,True,6,159
w8s1n,SirTheadore,32004,216536,254911,07/03/16,True,417,1000
s5a2ivznw,DirtGuzzler,123,69,192,15/01/24,True,22,81
8y2ng,bigbysemotivefinger,20125,170660,192279,08/09/12,True,379,987
nlj1r,Paralta,11049,166484,178474,21/05/15,True,106,998
5kd1k09j,Schnorrk,12,1067,1079,15/05/20,True,7,252
w7imy,codehawk64,4845,34652,40654,07/03/16,True,69,1000
jbo3qkf,-wnr-,23584,229932,254416,31/10/17,True,125,1000
3zgpxni0,Kimm_Orwente,334,310,657,27/06/19,True,23,203
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,859,924
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,867,928
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,867,918
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,875,927
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,875,922
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,875,922
4sk81sqg,profanitycounter,1186,189240,193214,13/10/19,True,29,994
4sk81sqg,profanitycounter,1186,189240,193214,13/10/19,True,29,994
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,883,924
4sk81sqg,profanitycounter,1186,189240,193214,13/10/19,True,29,994
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,900,915
4sk81sqg,profanitycounter,1186,189240,193214,13/10/19,True,29,994
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,893,915
4sk81sqg,profanitycounter,1186,189240,193214,13/10/19,True,29,994
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,904,926
6l4z3,AutoModerator,1000,1000,2484684,05/01/12,True,904,936
